"","E003","E004","E005","E006","E007","E011","E012","E013","E016","E024","E050","E053","E054","E058","E065","E066","E070","E071","E079","E084","E085","E094","E095","E096","E097","E098","E100","E104","E105","E106","E109","E112","E113"
"ENSG00000134531",0.22,0.132,3.696,50.799,0.643,3.444,1.16,76.577,0.583,0.209,39.956,1.349,2.963,103.494,18.361,9.8,1.491,6.537,1163.73,13.793,7.773,11.519,28.907,40.046,18.372,5.694,9.042,36.338,36.033,85.33,47.922,28.416,7.884
"ENSG00000134532",0.238,0.524,1.887,3.131,18.595,6.827,8.134,4.326,1.775,0.522,0.03,17.483,18.451,0.123,1.62,2.212,17.369,2.76,1.21,1.196,1.764,0.669,0.178,0.703,2.983,0.561,0.166,1.155,0.259,0.321,0.579,0.208,0.303
"ENSG00000134533",0.317,0.444,0.097,0.341,0.025,0.921,0.203,2.656,0.222,0.093,0.023,0,0,0.05,47.838,0.853,0.387,3.222,4.927,2.305,1.312,4.121,1.982,3.891,8.433,4.482,1.323,4.829,2.981,2.193,2.691,1.657,16.472
"ENSG00000134538",0.145,0.033,0.02,0.007,0.032,0,0.015,0,0.021,0.183,0,0,0,0,0.026,269.595,0,1.473,0.037,0.014,0,0,0,0,0.005,0.012,0,0.005,0,0.006,0.006,0.01,0
"ENSG00000134539",0.002,0.003,0.026,0.008,0.041,0.03,0.03,0.049,0,0.008,0.058,0,0,0.001,0.522,1.208,0.064,0.296,0.289,0.621,0.242,0.368,0.146,0.556,0.07,0.098,0.06,0.201,0.245,1.398,1.344,1.124,1.398
"ENSG00000134545",0,0.012,0.002,0,0,0,0,0.027,0,0,0.014,0,0,0.008,0,0.468,0.615,0.115,0.302,1.234,1.518,0.428,0.117,0.617,0.104,0.068,0.05,0.08,0.089,0.525,0.24,0.722,0.446
"ENSG00000134548",0.25,0.185,0.061,0.22,0.183,1.833,0.631,1.168,0.539,0.263,0.188,0.05,0.052,0.14,0.02,0.218,0.12,16.6,0.105,1.335,0.237,0.74,2.651,0.346,0.106,13.279,1.101,5.935,2.233,0.123,0.143,2.642,0.258
"ENSG00000134551",0.011,0.014,0.016,0.033,0.051,0.052,0.1,0.19,0.056,0.152,0.306,0.162,0.185,0.075,0.997,0.197,0.414,0.106,0.051,0.128,0.112,0.059,0.051,0.104,0.094,0.305,0.034,0.063,0.092,0.021,0.046,0.258,0.166
"ENSG00000134569",9.252,7.571,3.056,13.037,4.889,24.916,22.061,13.23,9.461,7.852,1.268,108.111,31.695,2.915,0.765,0.406,12.405,22.878,3.386,5.921,5.725,1.829,8.311,0.668,3.015,14.123,4.27,8.341,5.03,7.78,6.054,2.029,3.436
"ENSG00000134571",0.014,0.001,0.023,0.004,0.011,0.012,0.099,0,0.04,0.026,0.127,0,0.002,0,3.221,0.072,0.007,0.111,0.138,0.033,0.063,3.853,744.136,1.488,0.371,0.516,0.029,1176.52,1221.38,0.5,0.085,0.696,2.196
"ENSG00000134574",34.847,16.979,20.652,22.012,67.813,27.896,27.311,52.942,30.491,24.459,18.353,29.399,18.83,24.519,19.594,16.385,15.163,8.154,21.498,11.453,14.563,14.688,4.688,19.759,16.64,19.405,5.324,5.385,6.906,20.641,13.433,39.832,32.492
"ENSG00000134575",10.131,9.143,9.238,15.972,7.776,14.86,16.734,11.028,11.171,17.431,10.859,24.866,25.566,9.254,12.839,42.032,12.482,13.489,11.388,32.28,35.526,20.789,20.499,28.252,9.523,48.485,9.118,14.886,26.11,25.252,31.128,16.416,23.216
"ENSG00000134588",0.012,0.022,0.004,0,0.009,0,0.006,0.007,0.007,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.003,0,0,0,0.003,0.04,0
"ENSG00000134590",57.23,56.305,109.491,252.619,101.284,89.447,52.238,73.433,54.091,65.429,29.358,181.625,179.417,87.269,151.959,29.369,297.979,216.622,136.539,47.438,35.931,142.715,279.472,78.664,132.29,75.406,41.275,334.156,354.36,47.324,52.203,68.972,55.528
"ENSG00000134594",3.622,0.615,0.929,4.259,9.02,10.137,0.963,4.31,4.532,2.968,9.595,6.394,7.792,0.168,1.003,0.491,41.316,22.018,0.86,1.01,0.296,1.026,3.171,0.491,1.414,0.288,0.029,10.415,2.775,2.771,0.754,7.11,4.295
"ENSG00000134595",20.734,7.532,0.24,0.01,44.275,13.518,18.514,0.292,15.534,10.078,0,9.018,0.507,0,0,0,17.118,1.053,0.007,0.009,0,0,0.015,0.017,0.042,0,0.028,0.022,0.011,0.014,0.014,0.018,0
"ENSG00000134597",16.455,19.597,12.903,17.743,26.346,13.841,13.282,10.771,12.008,7.968,14.84,13.823,8.775,10.284,18.922,9.872,12.478,37.562,9.451,7.804,7.308,17.406,6.079,12.586,15.279,12.304,6.89,7.799,9.515,8.055,9.371,19.758,13.518
"ENSG00000134602",37.358,66.341,32.499,9.425,61.448,60.677,51.297,47.439,71.631,87.823,67.215,0.074,0.497,28.365,7.214,2.842,1.309,0.302,10.55,6.277,4.313,12.887,0.671,10.513,2.221,2.709,0.359,0.832,0.853,10.886,10.664,46.697,21.186
"ENSG00000134627",1.647,1.49,1.451,0.805,0.482,0.404,0.351,0.901,0.549,0.798,3.295,0.356,0.291,0.722,3.029,0.52,1.523,1.362,1.707,8.077,8.684,3.391,0.444,1.507,2.828,10.408,0.457,1.033,0.902,3.627,7.667,6.489,2.8
