"","E003","E004","E005","E006","E007","E011","E012","E013","E016","E024","E050","E053","E054","E058","E065","E066","E070","E071","E079","E084","E085","E094","E095","E096","E097","E098","E100","E104","E105","E106","E109","E112","E113"
"ENSG00000000003",43.985,37.413,29.459,21.864,55.649,52.94,71.629,61.292,44.28,63.184,5.544,15.933,27.15,10.151,5.605,73.205,20.954,7.645,35.083,53.039,64.971,14.46,3.122,13.463,54.677,13.735,2.435,8.833,4.494,36.012,19.252,11.928,5.637
"ENSG00000000005",1.642,6.498,0,0.157,0.003,0.115,0.087,0.055,1.577,0.726,0,0.051,0.07,0,0,0.191,0,0.018,0.251,0.566,0.336,0,0.07,0,10.67,0.424,0.032,0.524,0.092,0.205,0.134,0.678,0.121
"ENSG00000000419",35.259,58.308,48.208,37.477,45.923,44.959,40.438,41.97,51.515,35.129,37.351,11.078,12.225,44.444,52.753,52.609,15.701,21.769,26.467,29.927,30.095,56.167,32.202,26.051,42.731,19.683,67.684,46.172,33.687,39.226,47.562,61.359,54.866
"ENSG00000000457",2.596,2.345,8.775,2.723,3.7,3.912,5.011,4.158,3.292,3.16,17.602,3.295,4.301,3.933,3.417,4.733,3.349,2.222,5.325,8.497,9.679,5.731,2.622,3.907,7.649,5.455,10.873,2.529,2.811,6.044,4.526,8.791,5.484
"ENSG00000000460",6.649,7.838,7.324,0.83,5.354,5.94,5.704,6.213,7.551,7.705,6.91,3.855,4.401,6.491,1.137,0.942,4.716,1.12,1.487,3.408,3.58,1.25,0.47,1.134,1.69,1.126,0.518,0.717,0.694,1.893,1.952,3.137,1.631
"ENSG00000000938",0.211,0.059,0.009,0.012,0.013,0.012,0.012,0.013,0.094,0.135,5.088,0.056,0.011,0.003,12.977,4.572,0.544,6.421,5.39,1.488,0.787,10.879,3.646,91.639,3.179,4.08,1.168,2.428,4.935,8.702,9.252,26.992,77.711
"ENSG00000000971",0,0.003,0.009,41.909,0.002,0.011,0.018,0.121,0.004,0.002,15.838,0,0,0.058,38.9,566.609,0.544,8.279,59.786,4.428,2.362,11.68,5.925,13.383,143.061,2.264,7.393,56.378,14.76,11.687,21.54,10.673,4.086
"ENSG00000001036",49.337,25.066,25.679,86.255,21.922,33.225,22.268,37.503,35.061,46.317,17.086,29.602,24.595,21.126,23.684,43.631,9.694,12.456,20.23,71.468,105.662,35.581,33.092,32.312,35.341,24.756,9.493,23.452,41.298,41.846,51.012,11.514,17.117
"ENSG00000001084",6.966,10.11,4.609,5.87,6.44,5.431,6.838,3.018,9.897,6.48,11.592,2.875,3.332,13.698,5.399,25.767,1.74,7.165,8.593,13.653,17.715,11.021,3.926,7.957,4.189,4.403,5.083,4.207,3.759,6.183,12.005,8.048,16.529
"ENSG00000001167",13.316,14.576,26.119,13.081,21.587,31.022,30.694,28.347,23.622,19.013,41.301,18.724,21.57,14.208,8.003,6.255,29.836,10.403,8.484,17.581,18.041,8.527,6.127,7.883,16.896,8.921,12.339,7.046,5.839,9.903,8.173,20.717,12.276
"ENSG00000001460",1.761,1.571,1.519,2.242,3.847,1.823,2.722,1.994,1.616,1.954,1.615,0.057,0.096,3.766,0.936,0.298,0.435,2.245,1.607,1.089,1.121,1.462,1.293,3.116,1.506,1.854,0.94,1.29,1.147,3.233,2.001,0.99,0.992
"ENSG00000001461",2.893,1.332,5.536,9.129,3.137,1.956,2.669,4.333,1.34,2.131,8.731,2.195,3.619,8.672,3.204,1.277,2.966,39.126,4.473,5.084,5.342,5.372,6.483,6.879,2.615,5.835,1.766,7.928,4.283,7.573,7.34,4.745,3.643
"ENSG00000001497",12.236,17.598,6.043,4.371,12.236,15.566,17.574,11.005,16.866,14.781,15.585,10.785,13.615,14.983,14.09,8.53,18.472,25.095,10.681,8.815,8.093,8.395,6.432,12.193,17.617,14.107,5.534,5.976,8.635,9.022,9.099,10.313,12.578
"ENSG00000001561",4.946,1.447,1.193,0.14,5.596,4.222,6.999,1.359,3.555,2.288,17.046,0.218,1.586,0.041,14.58,5.919,2.823,15.025,4.878,7.694,9.908,7.614,27.313,8.776,2.235,4.837,23.85,18.313,18.335,7.908,8.288,19.435,7.458
"ENSG00000001617",24.475,13.619,8.106,10.802,37.379,12.714,19.842,14.432,12.198,27.574,0.049,0.569,0.388,86.905,6.82,1.751,7.467,9.49,51.164,3.723,2.475,15.645,10.707,45.181,5.507,8.001,2.517,7.577,15.92,7.109,22.776,14.684,27.751
"ENSG00000001626",0.353,0.048,0.15,0.348,0,0.098,0.099,0.164,0.276,0.556,0.005,0,0,0,2.677,0.596,0.008,0.245,0.484,22.708,23.68,0.331,0.031,8.005,0.008,126.916,0.01,0.01,0.035,19.481,16.08,0.198,0.014
"ENSG00000001629",16.865,15.977,16.93,19.317,14.645,13.284,14.13,15.701,14.767,14.052,19.516,22.851,25.566,18.682,15.329,4.787,17.988,20.666,10.248,19.382,19.785,14.299,7.508,12.757,11.495,10.67,10.383,7.605,6.937,9.794,9.956,25.478,11.269
"ENSG00000001630",113.334,83.412,87.242,92.097,56.898,80.555,28.836,62.789,69.547,47.509,23.286,33.184,25.291,83.79,10.415,50.076,20.851,19.95,21.88,45.946,62.804,23.001,21.792,49.726,20.072,13.31,2.839,15.07,16.13,57.153,72.237,7.668,9.344
"ENSG00000001631",8.01,9.417,6.947,8.242,11.77,8.891,10.778,10.133,9.546,9.043,14.15,7.106,8.033,10.479,7.211,6.381,7.577,10.176,8.773,14.411,15.023,7.706,7.417,10.153,12.954,11.464,11.621,9.252,7.39,6.577,6.894,17.344,11.455
"ENSG00000002016",3.299,2.176,2.232,1.816,6.411,6.317,8.835,7.053,3.844,4.748,7.634,3.67,4.924,2.267,2.412,1.698,8.723,4.907,4.358,6.057,5.886,1.88,2.324,3.365,4.575,9.016,5.12,2.742,3.478,3.752,2.485,6.921,4.59
"ENSG00000002330",7.949,8.646,18.292,27.93,20.003,20.059,14.238,16.105,10.261,10.169,14.56,30.182,26.178,35.16,51.597,15.838,34.181,23.015,35.334,12.242,12.85,91.435,34.137,68.032,40.89,36.571,44.926,74.98,49.328,45.44,28.406,29.078,35.352
"ENSG00000002549",13.107,23.576,18.862,17.905,9.628,9.869,13.607,12.136,21.27,15.582,25.697,17.798,16.191,33.426,25.609,106.39,6.015,20.855,16.66,24.563,23.944,32.75,22.954,18.152,17.928,8.208,23.564,15.372,27.678,53.155,56.302,52.889,48.131
"ENSG00000002586",24.419,13.931,176.45,287.62,152.875,57.509,34.572,140.877,18.042,49.079,123.997,38.284,33.346,60.678,153.691,76.013,53.024,36.954,98.763,43.619,38.373,44.303,105.926,60.664,120.565,102.349,53.162,113.942,130.797,66.847,92.106,170.945,65.601
"ENSG00000002587",0.48,0.77,0.867,0.025,0.017,2.193,0.105,1.773,1.421,0.2,0.078,0.045,0.118,2.948,0.596,0.161,0.56,0.902,3.433,0.608,0.583,1.013,0.479,1.139,32.202,0.386,0.077,0.79,0.769,1.342,2.339,0.775,3.218
"ENSG00000002726",0.101,0.1,0.092,0,0,0.027,0.005,0,0.041,0.132,0.207,0.015,0.007,0.002,13.789,8.353,0,0.015,0.804,91.466,147.37,0.338,0.036,0.256,0.014,0.3,0.12,0.012,0.012,90.734,50.195,2.431,0.042
"ENSG00000002745",0.147,0.035,0.004,0.537,0.022,0.041,0.022,0.117,0.019,0.072,0.255,0.013,0.008,0.025,0,0,0.254,0.299,0.013,0.288,0.079,0.04,0,0.042,0.02,0.005,0.002,0,0,0.329,0.305,0.3,1.163
"ENSG00000002746",1.581,0.435,0.007,0.366,0.063,0.26,0.102,0.063,0.551,1.304,0.005,0.062,0.235,0.004,0.051,0.015,4.881,1.28,0.116,0.151,0.012,0.518,0.005,0.016,0.117,0.016,0.267,0.026,0.009,0.072,0.015,0.022,0.019
"ENSG00000002822",3.087,4.227,4.254,2.342,4.371,7.04,6.516,6.287,5.44,3.346,5.168,6.257,6.062,5.998,3.955,3.423,7.072,3.249,6.485,3.022,2.592,7.137,5.58,12.318,5.49,9.891,2.282,7.432,6.843,6.759,4.909,10.927,10.941
"ENSG00000002834",88.064,159.833,127.758,192.155,73.799,85.864,70.277,94.015,84.885,59.285,59.802,95.477,89.756,107.624,98.191,41.127,133.08,36.139,41.993,158.088,196.707,140.911,23.433,78.275,66.49,53.761,9.671,23.961,27.444,167.088,159.826,74.714,102.691
"ENSG00000002919",10.249,9.889,7.084,9.647,10.007,10.974,13.386,7.473,12.117,10.004,9.685,10.531,12.204,11.43,23.733,10.405,4.674,19.715,13.714,6.524,6.31,22.525,17.608,13.915,8.47,9.678,20.966,7.253,15.371,21.587,15.908,22.13,29.724
"ENSG00000002933",0.163,0.052,0.389,1.093,0.141,1.429,0.35,0.081,0.088,0.213,0.374,0,0,0,13.222,611.87,0.142,12.468,7.7,60.589,79.704,27.031,3.569,6.38,33.075,7.696,0.848,16.222,5.557,40.779,44.799,7.259,17.163
"ENSG00000003056",55.973,39.22,32.618,74.875,39.06,30.799,32.846,33.981,30.237,34.219,56.798,31.539,30.47,37.223,21.848,31.898,8.969,14.731,20.304,48.168,59.597,23.214,39.953,22.455,25.527,10.95,42.2,22.641,34.039,31.354,27.168,35.824,39.792
"ENSG00000003096",1.781,0.589,0.198,0.011,5.872,4.966,5.842,1.794,4.1,2.974,4.195,4.591,7.445,1.796,1.289,1.85,6.62,0.911,4.057,21.974,22.314,1.334,1.545,0.276,3.024,1.162,0.566,1.915,1.178,0.982,2.059,1.409,0.313
"ENSG00000003137",0.086,0.086,3.772,0.067,0.575,3.124,0.741,0.377,1.902,0.072,0.186,0.164,0.459,0.875,2.356,0.193,2.537,2.712,2.853,3.268,1.331,0.502,2.377,1.105,4.496,0.94,0.475,5.815,5.276,2.163,5.475,4.456,1.921
"ENSG00000003147",13.638,5.665,3.478,0.878,2.72,1.322,1.641,4.253,4.926,7.919,18.243,1.116,2.544,1.271,3.482,3.823,2.321,7.19,4.131,10.387,13.9,15.621,10.751,15.307,1.533,25.812,0.53,16.233,14.099,10.429,13.982,8.416,7.975
"ENSG00000003249",39.365,21.38,6.206,3.443,25.288,14.943,19.385,4.835,29.825,68.869,0.479,31.19,15.695,3.921,2.223,0.918,55.412,22.885,10.097,4.762,4.052,10.34,1.532,5.197,1.159,11.232,15.34,1.858,0.993,2.935,1.637,1.544,0.727
"ENSG00000003393",6.553,8.008,5.715,5.694,8.072,11.885,13.15,10.378,10.206,8.379,23.486,8.686,9.009,7.367,4.432,5.233,5.674,4.359,3.215,11.221,12.978,6.345,8.466,4.143,3.879,4.257,8.722,6.681,6.479,2.497,4.402,5.817,3.165
"ENSG00000003400",0.702,1.401,0.116,0.203,0.053,0.303,0.401,1.587,0.805,1.358,16.552,0.027,0.029,1.882,3.717,2.576,0.297,2.274,5.687,7.181,5.867,4.835,2.065,8.435,1.865,4.856,0.709,2.181,2.73,17.063,13.793,5.897,11.751
"ENSG00000003402",0.421,0.975,1.902,4.03,0.698,4.722,1.146,6.528,1.094,0.9,16.563,3.548,3.044,4.955,7.608,6.755,2.403,5.685,13.312,12.175,9.498,7.969,30.732,21.844,7.189,14.103,41.252,28.053,22.252,18.284,10.225,14.929,19.688
"ENSG00000003436",1.391,1.661,32.934,91.023,0.222,7.509,5.491,63.655,4.46,1.265,16.536,16.813,8.114,0.069,8.6,43.483,4.197,0.981,5.102,9.782,13.179,3.693,4.45,70.14,7.811,5.615,5.303,7.78,8.524,2.834,12.213,8.513,3.622
"ENSG00000003509",13.834,7.111,6.531,4.589,7.114,6.807,7.767,5.921,9.673,12.398,13.457,5.077,5.375,4.965,5.134,5.694,6.867,5.415,5.705,7.412,6.804,6.397,9.708,10.521,6.613,7.091,8.146,10.628,10.565,4.803,4.918,15.447,7.342
"ENSG00000003756",10.316,10.719,18.568,10.149,20.405,22.026,36.113,26.833,15.876,18.373,43.651,27.058,39.001,13.123,6.121,8.27,50.535,24.958,23.323,38.868,32.099,10.031,8.71,20.716,32.962,38.36,7.532,14.254,12.733,18.906,14.734,59.447,45.521
"ENSG00000003987",2.561,1.051,0.819,0.385,1.48,1.024,2.431,0.145,1.639,2.334,1.962,0.062,0.237,0.017,0,0.308,7.377,2.308,0.075,1.446,0.814,0.087,0.038,0.129,0.883,0.779,0.05,0.067,0.061,0.124,0.375,0.355,0.011
"ENSG00000003989",17.271,3.554,77.541,21.789,3.388,2.894,2.771,8.116,6.005,11.55,0.013,0.947,3.346,3.686,1.621,126.14,0.768,4.817,7.042,6.735,12.713,4.108,15.189,7.075,74.582,23.47,44.11,4.759,9.542,2.533,9.705,4.872,1.506
"ENSG00000004059",51.192,49.948,55.368,37.414,85.404,67.049,78.505,75.117,78.222,59.768,64.472,62.659,56.509,65.313,100.158,86.465,75.041,71.652,119.69,67.549,68.747,127.05,66.794,151.094,81.499,141.037,32.653,64.031,100.165,95.173,105.56,114.616,97.268
"ENSG00000004139",2.078,1.061,0.28,1.869,2.843,3.977,2.773,4.312,1.949,2.064,15.345,25.262,29.239,0.338,4.736,1.672,22.026,6.639,6,9.687,17.966,5.372,2.734,7.042,6.744,15.844,0.535,2.661,3.067,5.768,6.992,3.026,9.039
"ENSG00000004399",24.277,23.204,62.597,64.448,11.557,13.006,5.291,82.429,12.1,7.551,41.154,8.334,3.982,0.393,14.132,8.998,5.093,12.977,13.004,9.39,6.512,12.893,18.566,46.122,16.526,18.137,5.022,22.912,22.621,11.518,18.036,20.129,22.846
"ENSG00000004455",24.086,25.133,15.195,19.162,12.974,15.92,12.892,12.079,18.503,12.569,46.965,11.87,12.487,27.618,24.408,33.632,11.247,15.871,21.951,30.113,33.882,34.992,32.683,32.78,17.942,19.439,27.617,26.026,43.807,40.584,49.468,27.86,28.593
"ENSG00000004468",0.062,0.065,0.013,0.264,0.047,0.04,0.049,0.093,0.09,0.038,17.199,0.071,0.063,0.024,0,2.925,4.752,0.735,0.476,1.802,1.144,0.694,0.899,3.092,0.217,0.128,1.333,1.473,1.018,5.703,1.806,13.436,4.014
"ENSG00000004478",90.797,126.344,43.628,22.226,40.389,41.277,30.187,48.002,73.834,71.645,50.587,22.39,16.67,63.115,29.031,36.999,71.992,57.996,43.24,27.558,23.355,75.675,57.392,30.149,26.861,35.157,88.889,32.173,49.842,37.736,35.893,22.45,27.202
"ENSG00000004487",113.835,129.515,69.929,31.643,152.36,153.381,159.933,96.551,128.811,112.744,65.726,48.482,52.941,56.995,10.5,12.52,95.734,15.756,21.415,44.431,43.727,22.936,18.355,16.087,38.151,18.59,33.768,16.482,20.25,20.639,27.22,30.139,19.922
"ENSG00000004534",21.743,21.918,18.133,13.352,26.46,29.657,34.282,26.81,23.419,22.89,36.541,21.593,30.499,14.43,19.44,11.72,38.302,42.624,37.097,38.354,31.74,29.26,17.563,40.98,35.777,108.287,14.857,22.472,28.729,26.507,24.048,96.643,84.832
"ENSG00000004660",3.502,1.085,0.558,1.952,3.848,3.282,2.414,1.569,2.323,2.89,2.417,4.84,1.798,1.055,1.485,0.396,3.481,12.425,7.07,7.448,5.739,2.462,2.635,7.731,4.167,22.958,0.653,3.768,2.48,4.321,3.224,9.027,9.62
"ENSG00000004700",26.226,24.958,19.565,30.011,18.732,18.747,22.328,33.727,24.068,13.014,26.017,12.597,12.509,22.574,24.701,8.466,10.123,7.341,12.963,15.428,14.373,15.752,11.545,17.373,13.97,7.668,23.34,9.245,13.386,12.382,12.391,33.637,28.707
"ENSG00000004766",1.931,2.034,3.655,3.241,2.898,3.775,3.69,3.217,2.673,2.055,6.617,4.62,5.896,3.806,5.431,2.528,3.553,3.956,3.789,6.497,6.166,3.698,4.522,3.924,3.771,3.158,7.089,3.319,3.814,4.407,4.632,8.538,6.218
"ENSG00000004776",1.26,1.124,5.093,340.386,2.332,0.147,0.363,0.751,0.297,1.878,0.666,0.535,0.661,1.601,89.532,8.836,30.352,25.96,229.648,31.358,11.548,62.409,226.934,30.408,103.744,91.956,252.055,200.829,532.43,27.298,38.79,17.905,6.382
"ENSG00000004777",10.843,6.5,5.331,2.167,18.258,21.948,10.694,7.313,8.697,15.219,14.85,36.874,34.432,2.755,1.197,0.438,186.239,14.893,7.765,7.475,5.031,3.972,1.422,4.411,10.143,26.49,0.469,2.173,2.544,4.328,3.306,10.373,7.184
"ENSG00000004779",110.416,135.492,80.848,79.429,114.254,63.36,56.185,74.772,94.465,77.599,34.315,26.354,27.512,63.313,124.891,111.287,46.61,60.185,53.045,49.449,44.564,166.315,284.377,63.117,48.696,35.82,166.337,616.095,231.458,142.197,178.502,61.377,85.886
"ENSG00000004799",0.044,0.051,0.058,5.924,0.003,0.325,0.041,0.952,0.007,0.019,0.899,0.261,0.336,0.009,131.464,209.055,2.199,25.535,64.912,6.089,4.563,165.341,422.829,27.777,189.063,106.046,1795.88,116.744,319.479,37.805,89.593,133.951,50.41
"ENSG00000004809",0.002,0.003,0.057,0,0.001,0,0.018,0.008,0.008,0.032,7.564,0,0,0.002,0.234,0.014,0.022,0.061,0.094,0.031,0.031,0,0.076,0.078,0.085,0,0.015,0.006,0.039,0.093,0.088,0.518,0.088
"ENSG00000004838",0.105,0.036,0.087,0.106,0.398,0.535,0.493,0.16,0.115,0.124,0.665,1.285,0.943,0.069,0.477,0.165,1.353,5.723,0.226,0.358,0.152,0.52,0.096,10.3,0.225,5.079,0.215,0.121,0.146,0.231,0.206,1.542,0.714
"ENSG00000004846",0.001,0.002,0.001,0.011,0,0.006,0.003,0,0.013,0,0.205,0.035,0.004,0.065,0.025,0,0.006,0.006,0.002,0.005,0.009,0.021,0,0.006,0.006,0.011,0,0.002,0,0.012,0,0.05,0.005
"ENSG00000004848",0.033,0.036,0.016,0,1.577,0.081,3.05,0.005,0.016,0.229,0,34.347,17.225,0,0,0.009,129.787,3.751,0.005,1.235,0.975,1.571,0,0.693,98.311,4.012,2.297,0,0,0.116,0.367,0.1,0
"ENSG00000004864",29.395,50.709,16.791,14.043,24.139,43.515,37.783,23.131,47.993,30.14,12.367,12.488,13.6,18.161,9.315,64.671,2.976,7.806,4.832,21.307,22.487,10.799,7.304,6.35,7.92,5.088,5.585,3.164,6.875,14.914,21.493,8.592,8.752
"ENSG00000004866",5.637,4.29,5.146,7.278,1.257,5.075,1.926,4.663,3.905,6.611,9.959,3.906,4.99,7.135,8.767,11.889,15.191,3.953,2.833,5.343,5.89,5.558,7.986,15.112,5.447,4.705,2.36,8.902,8.65,2.417,4.827,3.49,3.744
"ENSG00000004897",15.199,21.239,18.318,26.255,29.391,24.808,24.415,22.917,23.039,13.768,15.058,8.261,9.822,24.696,13.773,7.817,8.278,12.837,9.217,12.747,11.647,13.258,13.296,12.796,12.276,7.825,27.4,12.236,11.57,11.097,13.541,17.776,16.056
"ENSG00000004939",0.027,0.015,0.008,0.001,0.012,0,0.022,0,0.006,0.021,0.091,0,0,0,0.26,0.069,2.384,1.106,0.006,4.919,0.684,0.034,0.009,0.069,0.008,0.04,0.016,0.013,0.004,0.025,0.006,0.185,6.37
"ENSG00000004948",2.474,15.284,2.191,0,0.031,1.723,0.243,0.177,1.095,2.667,0,0,0,0,0.245,0.04,0,0.014,0,0.181,0.312,0.032,0,0.043,0.016,0.013,0.646,0.022,0.011,0.014,0.004,0.084,0.003
"ENSG00000004961",17.444,26.159,13.048,18.295,12.414,11.152,11.182,10.788,16.989,15.474,5.966,6.316,6.037,20.87,23.92,14.767,4.479,5.639,9.197,13.451,12.404,16.111,36,10.419,7.738,4.483,43.019,40.125,32.902,16.44,15.151,12.428,17.585
"ENSG00000004975",17.146,19.658,21.296,26.297,37.226,45.365,38.142,31.484,31.465,28.484,24.831,35.738,33.663,24.893,7.419,4.238,35.619,11.354,25.784,19.58,20.502,14.973,8.962,18.867,40.013,21.099,12.332,11.108,10.652,17.151,15.353,21.943,21.731
"ENSG00000005001",1.395,0.371,1.269,0.007,0,0.087,0.003,0.043,0.195,1.545,0,0,0,0.843,1.945,0.078,0.01,0.021,167.264,0.26,0.377,32.212,0.006,28.409,0.086,75.017,0.004,0.008,0,12.097,3.288,3.012,0.127
"ENSG00000005007",24.352,25.557,30.567,13.351,16.458,28.472,30.003,23.116,29.951,34.871,19.936,44.109,40.51,36.216,18.198,17.488,21.555,21.829,39.809,32.596,34.924,33.47,28.165,44.787,39.097,58.671,28.103,28.125,26.319,47.269,38.756,44.408,55.537
"ENSG00000005020",2.331,1.616,2.629,5.843,0.918,2.783,1.692,4.118,2.813,1.205,27.405,0.292,0.103,8.046,10.578,8.694,2.242,12.762,9.784,15.387,22.11,10.523,1.399,8.845,7.545,3.26,5.58,4.467,2.005,16.297,12.435,8.463,27.803
"ENSG00000005022",281.732,341.017,174.936,149.952,207.128,163.79,152.346,203.358,302.221,216.665,281.327,154.26,178.005,312.196,404.128,345.41,189.3,87.172,144.539,283.575,316.165,624.194,271.659,150.343,122.154,136.82,40.94,97.882,317.962,693.443,641.201,177.178,209.504
"ENSG00000005059",5.041,5.213,1.849,2.99,14.57,0.782,2.341,2.833,3.595,4.034,22.233,10.132,8.578,7.748,3.586,1.203,32.7,1.802,4.312,2.706,1.79,4.06,1.996,7.103,5.441,2.713,0.408,9.88,3.201,9.302,8.196,36.423,16.206
"ENSG00000005073",0,0,1.519,1.163,0,0.045,0,1.451,0.067,0,0.031,0,0,0.17,0,0,0,0,14.272,0,0.022,0,0.007,0.015,0.122,0.08,0.715,0,0,5.283,0.006,0.031,0
"ENSG00000005075",77.63,82.882,66.23,67.891,82.391,36.02,38.431,46.787,50.425,33.656,26.027,30.889,30.758,38.432,74.954,90.308,56.953,81.724,58.683,21.677,21.757,132.363,79.74,115.07,56.97,67.689,118.476,113.896,109.218,50.078,52.676,47.982,72.091
"ENSG00000005100",33.483,48.327,7.143,6.735,14.485,12.41,20.636,9.197,30.506,21.585,10.923,13.176,13.126,16.856,4.772,4.332,4.418,8.003,7.304,9.416,8.49,6.042,4.258,6.751,6.47,9.435,8.761,3.213,4.388,7.584,8.32,8.027,8.178
"ENSG00000005102",0.041,0.024,5.596,0.002,0.09,0.813,1.831,0.614,0.403,0.028,0.018,0.011,0.003,0.025,0.551,0.02,0,0,3.526,1.538,1.526,1.383,11.254,1.046,0.311,4.359,4.4,10.364,18.576,2.259,5.414,1.751,5.236
"ENSG00000005108",0.315,0.656,2.217,1.189,0.129,7.706,0.392,2.25,0.907,0.92,1.228,9.537,1.624,0,0,0.366,2.544,5.31,1.847,2.487,2.033,0.167,0.549,0.772,2.49,0.648,0.072,0.403,0.508,0.598,1.305,0.52,0.561
"ENSG00000005156",14.794,17.756,8.374,3.713,19.34,17.229,17.387,11.19,19.865,20.701,6.521,8.341,8.527,9.04,3.825,2.35,8.876,2.848,4.999,6.613,6.05,3.461,5.114,4.285,5.576,6.626,5.505,3.304,4.136,5.812,5.678,4.16,5.748
"ENSG00000005175",17.59,29.503,13.225,12.71,30.668,18.828,22.823,22.216,26.511,14.415,23.239,7.929,8.931,13.572,6.123,5.39,5.121,10.15,6.323,10.931,10.817,8.938,7.667,6.859,12.056,4,23.29,8.435,6.391,7.43,9.011,12.46,12.385
"ENSG00000005187",2.233,0.784,0.25,0.045,1.226,0.364,1.358,0.183,0.908,2.033,46.214,0.144,0.104,0.218,0.365,91.824,0.056,0.317,1.482,6.653,8.61,24.347,1.338,13.158,47.181,23.288,0.152,1.13,3.318,5.01,2.342,2.065,1.252
"ENSG00000005189",2.672,2.028,1.473,0.51,4.78,3.261,3.375,2.701,3.034,3.401,40.438,3.725,3.495,3.364,0.367,1.13,5.399,1.124,1.857,3.456,4.569,8.087,1.799,0.98,2.988,2.912,1.1,1.949,2.167,1.828,2.449,3.403,0.989
"ENSG00000005194",33.226,40.704,23.633,22.165,39.033,44.641,46.742,34.757,49.007,37.895,24.177,26.291,26.346,36.477,18.278,20.395,23.806,15.046,14.339,23.456,20.732,37.499,40.881,21.811,14.301,14.83,41.495,27.822,49.023,32.542,32.608,47.359,25.727
"ENSG00000005206",18.148,8.564,10.499,10.365,13.748,24.194,20.544,10.485,9.627,20.08,51.431,23.182,31.049,8.787,9.692,5.513,28.083,15.212,25.037,28.391,29.588,28.738,10.239,31.213,20.175,173.312,6.884,13.417,16.761,50.219,43.151,75.254,69.281
"ENSG00000005238",2.642,2.827,7.374,17.006,9.863,10.168,5.72,10.864,2.623,1.98,8.354,10.364,9.405,12.195,7.666,1.932,16.352,9.115,10.019,3.472,2.93,9.368,14.952,8.16,3.912,5.772,7.89,7.158,16.341,11.566,5.468,7.659,13.109
"ENSG00000005243",0.172,0.065,0.713,51.273,0.686,0.934,0.594,1.997,0.369,0.107,0.497,3.427,2.128,8.134,93.489,46.065,1.424,9.966,12.617,6.272,2.429,17.148,12.65,9.76,8.009,8.798,16.547,30.998,15.44,4.026,2.978,8.254,4.896
"ENSG00000005249",15.378,9.493,6.441,29.57,21.933,8.503,13.249,11.136,13.955,14.582,41.4,4.36,6.097,0.049,3.294,3.574,22.65,19.023,15.672,9.666,3.875,28.827,6.176,5.491,24.763,10.877,1.242,30.655,6.668,9.541,11.882,6.578,31.412
"ENSG00000005302",3.322,4.878,6.729,6.856,9.288,6.273,8.034,7.43,4.49,5.387,14.911,6.056,7.36,7.173,10.42,4.103,10.011,11.048,7.191,6.566,5.4,7.827,6.668,11.046,4.855,5.664,14.716,3.477,6.678,7.172,6.042,44.753,22.797
"ENSG00000005339",12.588,28.355,20.023,12.599,16.255,18.685,26.933,12.962,19.854,32.186,17.827,37.754,36.624,19.248,6.644,5.766,57.872,14.508,15.483,21.307,22.853,9.095,11.515,14.654,32.637,26.549,17.61,14.087,7.984,16.67,13.938,19.39,17.853
"ENSG00000005379",1.188,0.278,0.315,0.116,8.99,4.094,7.95,2.433,2.413,2.601,4.631,2.441,6.208,0.174,2.536,1.217,9.394,18.049,7.377,4.003,2.614,4.505,2.573,7.69,21.748,34.154,0.447,5.378,3.851,2.911,1.656,14.695,11.983
"ENSG00000005381",0.038,0.032,0.001,0,0.013,0,0,0,0,0.102,114.865,0,0.015,0,0.592,0.397,0.227,0.547,0.145,0.498,0.666,0.117,0.074,0.694,0.039,0.065,0.111,0.062,0.104,0.255,0.14,5.833,2.243
"ENSG00000005421",0.014,0.036,0.005,0,0.007,0.028,0.032,0.01,0.072,0.304,0.123,0.011,0.041,0.039,0.096,458.575,0.089,2.546,0.09,1.011,3.772,0.225,0.015,1.319,0.627,0.62,0.02,0.06,0.065,0.076,0.094,2.176,0.023
"ENSG00000005436",4.578,5.856,2.532,3.33,6.747,6.609,7.578,4.152,7.526,4.093,11.111,3.076,3.375,6.053,4.836,8.786,3.8,3.844,4.195,8.459,7.846,5.353,3.214,6.587,7.551,7.147,4.405,3.179,4.19,3.42,4.231,11.293,7.73
"ENSG00000005448",8.683,3.513,1.387,2.201,18.458,17.154,21.519,11.375,11.64,17.537,12.498,14.719,8.946,11.589,2.146,1.581,19.21,9.688,3.406,3.036,2.704,5.484,1.494,6.337,8.294,3.478,0.21,1.235,2.751,3.888,3.013,11.211,9.061
"ENSG00000005469",1.141,0.576,5.036,3,8.456,2.501,5.832,2.577,1.693,1.703,6.149,7.202,5.58,4.552,9.509,11.346,4.48,3.154,11.537,21.591,17.551,5.405,3.081,4.047,5.032,2.917,4.731,3.453,2.989,5.903,7.327,9.932,3.262
"ENSG00000005471",0.517,0.181,0.024,0.038,0.65,0.635,0.129,0.86,0.322,0.157,0.323,0.212,0.391,0.007,0.429,45.08,0.201,0.584,0.147,0.255,0.381,0.017,0.822,0.041,0.155,0.106,0.457,1.781,1.203,1.247,0.113,0.261,6.731
"ENSG00000005483",13.872,14.515,13.452,21.31,34.207,26.282,22.224,18.255,15.188,26.361,28.611,23.602,26.045,18.54,13.16,8.416,56.118,45.357,14.685,21.973,22.371,12.079,10.157,15.994,24.44,13.309,8.02,10.8,9.961,17.81,11.556,18.638,13.695
